Tournament Name or Home team,Away Team (or blank),"Date ( Mandatory, dd/mm/yyyy)","Time (24h format: hh:mm, or blank)","Time Zone (if Time specified then mandatory if not then no TZ should be specified, see a list here: http://php.net/manual/en/timezones.php)",Location (location name or blank),end-hour (hh:mm or blank),Description (or blank)
$100 Poland Vs. Greece,,08/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage. Poland Vs. Greece
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Russia Vs. Czech Rep,,08/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage. Russia Vs. Czech Rep
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Holland Vs. Denmark,,09/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage. Holland Vs. Denmark
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Germany Vs. Portugal,,09/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage. Germany Vs. Portugal
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Spain Vs. Italy,,10/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage.  Spain Vs. Italy
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Ireland Vs. Croatia,,10/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage.  Ireland Vs. Croatia
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 France Vs. England,,11/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage. France Vs. England
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Ukraine Vs. Sweden,,11/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage.  Ukraine Vs. Sweden
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Greece Vs. Czech Rep,,12/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage.  Greece Vs. Czech Rep
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Poland Vs. Russia,,12/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage. Poland Vs. Russia
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Denmark Vs. Portugal,,13/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage. Denmark Vs. Portugal
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Holland Vs. Germany,,13/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage.  Holland Vs. Germany
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers.
"
$100 Italy Vs. Croatia,,14/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage. Italy Vs. Croatia
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Spain Vs. Ireland,,14/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage. Spain Vs. Ireland
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Sweden Vs. England,,15/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage. Sweden Vs. England
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Ukraine Vs. France,,15/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage. Ukraine Vs. France
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Czech Rep Vs. Poland,,16/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage.  Czech Rep Vs. Poland
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Greece Vs. Russia,,16/06/2012,16:45,GMT ,888poker teams table ,18:45,"Euro Group stage. Greece Vs. Russia
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
$100 Portugal Vs. Holland,,17/06/2012,14:00,GMT ,888poker teams table ,16:00,"Euro Group stage. Portugal Vs. Holland
$100 GNTD
Buy in $0.08 only!
Fight for your country
Check out more Euromania exciting offers."
